,1,2,3,4,5,6,7,8,9,Salary,Projection
204,Jared Cook,Chuba Hubbard,Antonio Gibson,Brandin Cooks,Jarvis Landry,Zach Pascal,Deonte Harris,Daniel Jones,Detroit,41700,100.89999999999999
82,Jared Cook,Cordarrelle Patterson,Chuba Hubbard,J.D. McKissic,Brandin Cooks,Zach Pascal,Deonte Harris,Mac Jones,Washington,41700,100.56
205,Jared Cook,Cordarrelle Patterson,Chuba Hubbard,Brandin Cooks,Jarvis Landry,Zach Pascal,Deonte Harris,Mac Jones,Washington,41600,100.28
83,Jared Cook,Cordarrelle Patterson,Chuba Hubbard,J.D. McKissic,Brandin Cooks,Zach Pascal,Deonte Harris,Tyrod Taylor,Washington,41400,100.16
340,Jared Cook,Evan Engram,Nick Chubb,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Tyrod Taylor,Washington,40800,100.03
206,Jared Cook,Chuba Hubbard,Antonio Gibson,Brandin Cooks,Jaylen Waddle,Zach Pascal,Deonte Harris,Tyrod Taylor,Washington,41400,99.93
207,Jared Cook,Cordarrelle Patterson,Chuba Hubbard,Brandin Cooks,Jarvis Landry,Zach Pascal,Deonte Harris,Tyrod Taylor,Washington,41300,99.88
341,Dallas Goedert,Jared Cook,Chuba Hubbard,J.D. McKissic,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,40600,99.86
84,Jared Cook,D'Andre Swift,Chuba Hubbard,JaMycal Hasty,Brandin Cooks,Zach Pascal,Deonte Harris,Tyrod Taylor,Washington,41500,99.67999999999999
342,Jared Cook,Gerald Everett,D'Andre Swift,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Tyrod Taylor,Washington,40500,99.46
343,Jared Cook,C.J. Uzomah,Cordarrelle Patterson,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,40700,99.27
85,Jared Cook,Nick Chubb,Chuba Hubbard,J.D. McKissic,Jarvis Landry,Zach Pascal,Deonte Harris,Tyrod Taylor,Washington,41300,99.21000000000001
