,1,2,3,4,5,6,7,8,9,Salary,Projection
22,Travis Kelce,Alvin Kamara,Nick Chubb,Adrian Peterson,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Lions,47900,141.2
278,Travis Kelce,Nick Chubb,Adrian Peterson,Julio Jones,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Broncos,48700,141.1
540,Travis Kelce,Austin Hooper,Alvin Kamara,Nick Chubb,Adam Thielen,Sammy Watkins,Courtland Sutton,Cam Newton,Broncos,48800,141.0
279,Travis Kelce,Nick Chubb,Adrian Peterson,Adam Thielen,Marvin Jones Jr.,Sammy Watkins,Courtland Sutton,Cam Newton,Lions,48800,140.9
23,Travis Kelce,Nick Chubb,James Conner,Adrian Peterson,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Broncos,48000,140.9
24,Travis Kelce,Chris Carson,Nick Chubb,Adrian Peterson,Adam Thielen,Sammy Watkins,Courtland Sutton,Cam Newton,Lions,48200,140.8
541,Travis Kelce,Austin Hooper,Nick Chubb,Adrian Peterson,Adam Thielen,Cooper Kupp,Courtland Sutton,Cam Newton,Broncos,48600,140.8
280,Travis Kelce,Nick Chubb,Adrian Peterson,Julio Jones,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Lions,48500,140.6
25,Travis Kelce,Nick Chubb,James Conner,Adrian Peterson,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Lions,47800,140.4
542,Travis Kelce,Austin Hooper,Nick Chubb,Adrian Peterson,Adam Thielen,Cooper Kupp,Courtland Sutton,Cam Newton,Lions,48400,140.3
543,Travis Kelce,Austin Hooper,Nick Chubb,James Conner,Adam Thielen,Sammy Watkins,Courtland Sutton,Cam Newton,Broncos,48700,140.2
281,Travis Kelce,Alvin Kamara,Adrian Peterson,Sammy Watkins,Cooper Kupp,Courtland Sutton,Michael Crabtree,Cam Newton,Broncos,48400,140.1
283,Travis Kelce,Nick Chubb,Adrian Peterson,Tyreek Hill,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Lions,48600,140.0
284,Travis Kelce,James Conner,Adrian Peterson,Marvin Jones Jr.,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Lions,48600,140.0
282,Travis Kelce,Nick Chubb,Adrian Peterson,Julio Jones,Cooper Kupp,Courtland Sutton,Michael Crabtree,Cam Newton,Broncos,48600,140.0
285,Travis Kelce,Nick Chubb,Adrian Peterson,Adam Thielen,Sammy Watkins,Courtland Sutton,Michael Crabtree,Cam Newton,Lions,48300,139.7
544,Travis Kelce,Austin Hooper,Nick Chubb,James Conner,Adam Thielen,Sammy Watkins,Courtland Sutton,Cam Newton,Lions,48500,139.7
26,Travis Kelce,Alvin Kamara,Lamar Miller,Nick Chubb,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Chiefs,47700,139.7
286,Travis Kelce,Alvin Kamara,Adrian Peterson,Sammy Watkins,Cooper Kupp,Courtland Sutton,Michael Crabtree,Cam Newton,Lions,48200,139.6
27,Travis Kelce,Alvin Kamara,Phillip Lindsay,Nick Chubb,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Broncos,47600,139.6
545,Travis Kelce,Kyle Rudolph,Nick Chubb,Adrian Peterson,Adam Thielen,Cooper Kupp,Courtland Sutton,Cam Newton,Lions,48200,139.1
29,Travis Kelce,Alvin Kamara,Nick Chubb,Adrian Peterson,Marvin Jones Jr.,Sammy Watkins,Courtland Sutton,Cam Newton,Broncos,47400,139.1
28,Travis Kelce,Alvin Kamara,Phillip Lindsay,Nick Chubb,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Lions,47400,139.1
547,Travis Kelce,Austin Hooper,Alvin Kamara,Adrian Peterson,Sammy Watkins,Cooper Kupp,Michael Crabtree,Cam Newton,Broncos,48300,139.0
546,Travis Kelce,Austin Hooper,Phillip Lindsay,Adrian Peterson,Adam Thielen,Sammy Watkins,Courtland Sutton,Cam Newton,Lions,48300,139.0
287,Travis Kelce,Alvin Kamara,Adrian Peterson,Demaryius Thomas,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Broncos,48100,139.0
30,Travis Kelce,Alvin Kamara,Lamar Miller,Nick Chubb,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Broncos,47300,139.0
