Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
65568-54879,QB,Deshaun,Deshaun Watson,Watson,23.520000457763672,16,6000,HOU@ARI,HOU,ARI,,,,,,QB
65568-61042,QB,Kendall,Kendall Hinton,Hinton,4.875,4,6000,DEN@CLE,DEN,CLE,,,,,,QB
65568-95893,QB,Devlin,Devlin Hodges,Hodges,0,1,6000,DET@LAR,LAR,DET,,,,,,QB
65568-7844,QB,Chad,Chad Henne,Henne,6.639999866485596,4,6000,KC@TEN,KC,TEN,,,,,,QB
65568-69302,QB,Feleipe,Feleipe Franks,Franks,0.30000001192092896,1,6000,ATL@MIA,ATL,MIA,,,,,,QB
65568-69304,QB,Kyle,Kyle Trask,Trask,,,6000,CHI@TB,TB,CHI,,,,,,QB
65568-7872,QB,Brian,Brian Hoyer,Hoyer,1.5,2,6000,NYJ@NE,NE,NYJ,,,,,,QB
65568-52929,QB,Jake,Jake Luton,Luton,6.851999664306641,5,6000,NO@SEA,SEA,NO,,,,,,QB
65568-61157,QB,Brett,Brett Rypien,Rypien,5.100000063578288,3,6000,DEN@CLE,DEN,CLE,,,,,,QB
65568-57091,WR,Tim,Tim Patrick,Patrick,10.816666920979818,6,6000,DEN@CLE,DEN,CLE,,,,,,WR/FLEX
65568-28434,QB,Trevor,Trevor Siemian,Siemian,,,6000,NO@SEA,NO,SEA,,,,,,QB
65568-104281,QB,Jake,Jake Dolegala,Dolegala,0,1,6000,WAS@GB,GB,WAS,,,,,,QB
65568-61276,QB,James,James Morgan,Morgan,0,1,6000,CAR@NYG,CAR,NYG,,,,,,QB
65568-53095,QB,Kyle,Kyle Allen,Allen,11.5,4,6000,WAS@GB,WAS,GB,,,,,,QB
65568-14185,QB,Cam,Cam Newton,Newton,17.998667399088543,15,6000,NYJ@NE,NE,NYJ,,,,,,QB
65568-55148,QB,Clayton,Clayton Thorson,Thorson,0,1,6000,CAR@NYG,NYG,CAR,Q,Concussion,,,,QB
65568-38767,QB,Chris,Chris Streveler,Streveler,2.174999952316284,4,6000,HOU@ARI,ARI,HOU,,,,,,QB
65568-14194,QB,Blaine,Blaine Gabbert,Gabbert,0.6200000047683716,2,6000,CHI@TB,TB,CHI,,,,,,QB
65568-28573,WR,Michael,Michael Thomas,Thomas,8.855555216471354,9,6000,NO@SEA,NO,SEA,NA,Ankle,,,,WR/FLEX
65568-38837,QB,Danny,Danny Etling,Etling,0,1,6000,NO@SEA,SEA,NO,,,,,,QB
65568-69777,WR,Darnell,Darnell Mooney,Mooney,8.34999974568685,6,5900,CHI@TB,CHI,TB,Q,Groin,,,,WR/FLEX
65568-71845,RB,Miles,Miles Sanders,Sanders,8.34999974568685,6,5900,PHI@LV,PHI,LV,,,,,,RB/FLEX
